Photo;Name;Comments
mlp-wave-1-twilight-sparkle-blind-bag.jpg;Twilight Sparkle;#01|#70112
mlp-wave-5-princess-cadance-blind-bag.jpg;Princess Cadance;#02|#70122
mlp-wave-5-sunny-rays-blind-bag.jpg;Sunny Rays;#03|#70132
mlp-wave-5-junebug-blind-bag.jpg;Junebug;#04|#70142
mlp-wave-5-breezie-blind-bag.jpg;Breezie;#05|#70152
mlp-wave-5-island-rainbow-blind-bag.jpg;Island Rainbow;#06|#70162
mlp-wave-5-princess-luna-blind-bag.jpg;Princess Luna;#07|#70172
mlp-wave-5-sapphire-shores-blind-bag.jpg;Sapphire Shores;#08|#70182
mlp-wave-1-rainbow-dash-blind-bag.jpg;Rainbow Dash;#09|#70192
mlp-wave-5-flippity-flop-blind-bag.jpg;Flippity Flop;#10|#71102
mlp-wave-5-gardenia-glow-blind-bag.jpg;Gardenia Glow;#11|#71112
mlp-wave-5-skywishes-blind-bag.jpg;Skywishes;#12|#71122
mlp-wave-5-trixie-lulamoon-blind-bag.jpg;Trixie Lulamoon;#13|#71132
mlp-wave-5-diamond-rose-blind-bag.jpg;Diamond Rose;#14|#71142
mlp-wave-5-cinnamon-breeze-blind-bag.jpg;Cinnamon Breeze;#15|#71152
mlp-wave-5-ploomette-blind-bag.jpg;Ploomette;#16|#71162
mlp-wave-5-golden-delicious-blind-bag.jpg;Golden Delicious;#17|#71172
mlp-wave-5-ribbon-wishes-blind-bag.jpg;Ribbon Wishes;#18|#71182
mlp-wave-5-princess-celestia-blind-bag.jpg;Princess Celestia;#19|#71192
mlp-wave-1-fluttershy-blind-bag.jpg;Fluttershy;#20|#72102
mlp-wave-5-forsythia-blind-bag.jpg;Forsythia;#21|#72112
mlp-wave-5-flitter-heart-blind-bag.jpg;Flitter Heart;#22|#72122
mlp-wave-5-rainbow-wishes-blind-bag.jpg;Rainbow Wishes;#23|#72132
mlp-wave-5-lyra-heartstrings-blind-bag.jpg;Lyra Heartstrings;#24|#72142
