Photo;Name;Comments
mlp-wave-10-applejack-blind-bag.jpg;Applejack;AA|Glitter
mlp-wave-10-trixie-lulamoon-blind-bag.jpg;Trixie Lulamoon;AB|Glitter
mlp-wave-10-fluttershy-blind-bag.jpg;Fluttershy;AC|Glitter
mlp-wave-10-pinkie-pie-blind-bag.jpg;Pinkie Pie;AD|Glitter
mlp-wave-10-green-jewel-blind-bag.jpg;Green Jewel;AE|Glitter
mlp-wave-10-rainbowshine-blind-bag.jpg;Rainbowshine;AF|Glitter
mlp-wave-10-sunny-rays-blind-bag.jpg;Sunny Rays;AG|Glitter
mlp-wave-10-lotus-blossom-blind-bag.jpg;Lotus Blossom;AH|Glitter
mlp-wave-10-ribbon-wishes-blind-bag.jpg;Ribbon Wishes;AI|Glitter
mlp-wave-10-snailsquirm-blind-bag.jpg;Snailsquirm;AK|Glitter
mlp-wave-10-diamond-mint-blind-bag.jpg;Diamond Mint;AL|Glitter
mlp-wave-10-twilight-sparkle-blind-bag.jpg;Twilight Sparkle;AM|Glitter
mlp-wave-10-peachy-sweet-blind-bag.jpg;Peachy Sweet;AN|Glitter
mlp-wave-10-flower-wishes-blind-bag.jpg;Flower Wishes;AO|Glitter
mlp-wave-10-snipsy-snap-blind-bag.jpg;Snipsy Snap;AP|Glitter
mlp-wave-10-mosely-orange-blind-bag.jpg;Mosely Orange;AR|Glitter
mlp-wave-10-junebug-blind-bag.jpg;Junebug;AS|Glitter
mlp-wave-10-rainbow-swoop-blind-bag.jpg;Rainbow Swoop;AT|Glitter
mlp-wave-10-sunshower-raindrops-blind-bag.jpg;Sunshower Raindrops;AU|Glitter
mlp-wave-10-gilda-the-griffon-blind-bag.jpg;Gilda the Griffon;AV|Glitter
mlp-wave-10-strawberry-sunrise-blind-bag.jpg;Strawberry Sunrise;AW|Glitter
mlp-wave-10-sassaflash-blind-bag.jpg;Sassaflash;AX|Glitter
mlp-wave-10-royal-riff-blind-bag.jpg;Royal Riff;AY|Glitter
mlp-wave-10-lemon-hearts-blind-bag.jpg;Lemon Hearts;AZ|Glitter
