Photo;Name;Comments
mlp-wave-9-fluttershy-blind-bag.jpg;Fluttershy;AC
mlp-wave-1-pinkie-pie-blind-bag.jpg;Pinkie Pie;AD
mlp-wave-9-rainbow-dash-rainbowfied-blind-bag.jpg;Rainbow Dash;AE|Rainbowfied
mlp-wave-9-rarity-rainbowfied-blind-bag.jpg;Rarity;AF|Rainbowfied
mlp-wave-9-shoeshine-blind-bag.jpg;Shoeshine;AH
mlp-wave-9-sea-swirl-blind-bag.jpg;Sea Swirl;AK
mlp-wave-9-berryshine-blind-bag.jpg;Berryshine;AL
mlp-wave-9-peachy-sweet-blind-bag.jpg;Peachy Sweet;AN
mlp-wave-9-mr-carrot-cake-blind-bag.jpg;Mr. Carrot Cake;AT
mlp-wave-9-green-jewel-blind-bag.jpg;Green Jewel;AU
mlp-wave-9-honey-rays-blind-bag.jpg;Honey Rays;AX
mlp-wave-9-prism-glider-blind-bag.jpg;Prism Glider;AY
