Photo;Name;Comments
mlp-wave-8-rainbow-dash-blind-bag.jpg;Rainbow Dash;AA|Neon
mlp-wave-8-applejack-blind-bag.jpg;Applejack;AB|Neon
mlp-wave-8-fluttershy-blind-bag.jpg;Fluttershy;AC|Neon
mlp-wave-8-flower-wishes-blind-bag.jpg;Flower Wishes;AD|Neon
mlp-wave-8-skywishes-blind-bag.jpg;Skywishes;AE|Neon
mlp-wave-8-gardenia-glow-blind-bag.jpg;Gardenia Glow;AF|Neon
mlp-wave-8-lemon-hearts-blind-bag.jpg;Lemon Hearts;AG|Neon
mlp-wave-8-big-macintosh-blind-bag.jpg;Big MacIntosh;AH|Neon
mlp-wave-8-granny-smith-blind-bag.jpg;Granny Smith;AI|Neon
mlp-wave-8-comet-tail-blind-bag.jpg;Comet Tail;AK|Neon
mlp-wave-8-royal-riff-blind-bag.jpg;Royal Riff;AL|Neon
mlp-wave-8-flim-skim-blind-bag.jpg;Flim Skim;AM|Neon
