Photo;Name;Comments
mlp-wave-1-pinkie-pie-blind-bag.jpg;Pinkie Pie;#01|#80216
mlp-wave-1-fluttershy-blind-bag.jpg;Fluttershy;#02|#80226
mlp-wave-6-twilight-sparkle-gem-blind-bag.jpg;Twilight Sparkle;#03|#80236|Gem Cutie Mark
mlp-wave-1-rainbow-dash-blind-bag.jpg;Rainbow Dash;#04|#80246
mlp-wave-1-rarity-blind-bag.jpg;Rarity;#05|#80256
mlp-wave-1-applejack-blind-bag.jpg;Applejack;#06|#80266
mlp-wave-6-minuette-blind-bag.jpg;Minuette;#07|#80276
mlp-wave-6-roseluck-blind-bag.jpg;Roseluck;#08|#80286
mlp-wave-6-trixie-lulamoon-gem-blind-bag.jpg;Trixie Lulamoon;#09|#80296|Gem Cutie Mark
mlp-wave-6-twilight-velvet-gem-blind-bag.jpg;Twilight Velvet;#10|#81206|Gem Cutie Mark
mlp-wave-6-mosely-orange-blind-bag.jpg;Mosely Orange;#11|#81216
mlp-wave-6-berry-green-blind-bag.jpg;Berry Green;#12|#81226
mlp-wave-6-merry-may-blind-bag.jpg;Merry May;#13|#81236
mlp-wave-6-cherry-spices-blind-bag.jpg;Cherry Spices;#14|#81246
mlp-wave-6-electric-sky-blind-bag.jpg;Electric Sky;#15|#81256
mlp-wave-6-crimson-gala-blind-bag.jpg;Crimson Gala;#16|#81266
mlp-wave-6-amethyst-star-blind-bag.jpg;Amethyst Star;#17|#81276
mlp-wave-6-twilight-sky-blind-bag.jpg;Twilight Sky;#18|#81286
mlp-wave-6-sassaflash-blind-bag.jpg;Sassaflash;#19|#81296
mlp-wave-6-magnet-bolt-blind-bag.jpg;Magnet Bolt;#20|#82206
mlp-wave-6-royal-riff-blind-bag.jpg;Royal Riff;#21|#82216
mlp-wave-6-peachy-sweet-blind-bag.jpg;Peachy Sweet;#22|#82226
mlp-wave-6-chance-a-lot-blind-bag.jpg;Chance-A-Lot;#23|#82236
mlp-wave-6-shoeshine-blind-bag.jpg;Shoeshine;#24|#82246
