Photo;Name;Comments
mlp-wave-1-applejack-blind-bag.jpg;Applejack;AA
mlp-wave-3-big-macintosh-blind-bag.jpg;Big MacIntosh;AB
mlp-wave-9-amethyst-star-blind-bag.jpg;Amethyst Star;AG
mlp-wave-9-noteworthy-blind-bag.jpg;Noteworthy;AI
mlp-wave-9-princess-cadance-rainbowfied-blind-bag.jpg;Princess Cadance;AM|Rainbowfied
mlp-wave-9-lily-valley-blind-bag.jpg;Lily Valley;AO
mlp-wave-9-nurse-snowheart-blind-bag.jpg;Nurse Snowheart;AP
mlp-wave-9-sprinkle-medley-blind-bag.jpg;Sprinkle Medley;AR
mlp-wave-9-tropical-storm-blind-bag.jpg;Tropical Storm;AS
mlp-wave-9-lavender-fritter-blind-bag.jpg;Lavender Fritter;AV
mlp-wave-9-apple-honey-blind-bag.jpg;Apple Honey;AW
mlp-wave-9-grape-delight-blind-bag.jpg;Grape Delight;AZ
