Photo;Name;Comments
mlp-wave-1-pinkie-pie-blind-bag.jpg;Pinkie Pie;#01
mlp-wave-1-applejack-blind-bag.jpg;Applejack;#02
mlp-wave-1-rainbow-dash-blind-bag.jpg;Rainbow Dash;#03
mlp-wave-1-rarity-blind-bag.jpg;Rarity;#04
mlp-wave-1-twilight-sparkle-blind-bag.jpg;Twilight Sparkle;#05
mlp-wave-1-fluttershy-blind-bag.jpg;Fluttershy;#06
mlp-wave-2-feathermay-blind-bag.jpg;Feathermay;#07
mlp-wave-2-blossomforth-blind-bag.jpg;Blossomforth;#08
mlp-wave-2-lulu-luck-blind-bag.jpg;Lulu Luck;#09
mlp-wave-2-star-swirl-blind-bag.jpg;Star Swirl;#10
mlp-wave-2-tea-love-blind-bag.jpg;Tea Love;#11
mlp-wave-2-ribbon-heart-blind-bag.jpg;Ribbon Heart;#12
mlp-wave-2-cheerilee-blind-bag.jpg;Cheerilee;#13
mlp-wave-2-daisy-dreams-blind-bag.jpg;Daisy Dreams;#14
mlp-wave-2-stardash-blind-bag.jpg;Stardash;#15
mlp-wave-2-honeybelle-blind-bag.jpg;Honeybelle;#16
mlp-wave-2-dewdrop-dazzle-blind-bag.jpg;Dewdrop Dazzle;#17
mlp-wave-2-rainbow-flash-blind-bag.jpg;Rainbow Flash;#18
mlp-wave-2-pudding-pie-blind-bag.jpg;Pudding Pie;#19
mlp-wave-2-snowcatcher-blind-bag.jpg;Snowcatcher;#20
mlp-wave-2-twinkleshine-blind-bag.jpg;Twinkleshine;#21
mlp-wave-2-rarity-glitter-blind-bag.jpg;Rarity;#22|Glitter
mlp-wave-2-applejack-glitter-blind-bag.jpg;Applejack;#23|Glitter
mlp-wave-2-fluttershy-glitter-blind-bag.jpg;Fluttershy;#24|Glitter
